CONTEXT,CPU_CYCLES,L1D_CACHE_REFILL,L1D_CACHE,L2D_CACHE,L2D_CACHE_REFILL,L3D_CACHE_REFILL,L3D_CACHE
SECTION_1,1114040,3439,704165,0,0,0,0
SECTION_2,155831,2882,160572,0,0,0,0
