CONTEXT,CPU_CYCLES,INST_RETIRED,INST_SPEC,EXC_TAKEN,ST_SPEC,ASE_SPEC,PC_WRITE_SPEC
SECTION_1,0,2836688,2981206,0,0,0,0
SECTION_2,0,312979,319935,0,0,0,0
