CONTEXT,CPU_CYCLES,BR_RETURN_SPEC,BR_IMMED_SPEC,BR_INDIRECT_SPEC,INST_SPEC,LD_SPEC,DSB_SPEC
SECTION_1,0,24928,272310,0,0,0,0
SECTION_2,0,1849,21692,0,0,0,0
